id	roleExp	blueDiamond	redDiamond	gold
1	500	5	5	500
2	501	5	5	500
3	502	5	5	500
4	503	5	5	500
5	504	5	5	500
6	505	5	5	500
7	506	5	5	500
8	507	5	5	500
9	508	5	5	500
10	509	5	5	500
11	510	5	5	500
12	511	5	5	500
13	512	5	5	500
14	513	5	5	500
15	514	5	5	500
16	515	5	5	500
17	516	5	5	500
18	517	5	5	500
19	518	5	5	500
20	519	5	5	500
21	520	5	5	500
22	521	5	5	500
23	522	5	5	500
24	523	5	5	500
25	524	5	5	500
26	525	5	5	500
27	526	5	5	500
28	527	5	5	500
29	528	5	5	500
30	529	5	5	500
31	530	5	5	500
32	531	5	5	500
33	532	5	5	500
34	533	5	5	500
35	534	5	5	500
36	535	5	5	500
37	536	5	5	500
38	537	5	5	500
39	538	5	5	500
40	539	5	5	500
41	540	5	5	500
42	541	5	5	500
43	542	5	5	500
44	543	5	5	500
45	544	5	5	500
46	545	5	5	500
47	546	5	5	500
48	547	5	5	500
49	548	5	5	500
50	549	5	5	500
51	550	5	5	500
52	551	5	5	500
53	552	5	5	500
54	553	5	5	500
55	554	5	5	500
56	555	5	5	500
57	556	5	5	500
58	557	5	5	500
59	558	5	5	500
60	559	5	5	500
