id	roleLevel	roleId	addAtk	costAtk	addHp	costHp	costGold
1	1	1	8	1	25	1	200
2	2	1	8	2	25	2	400
3	3	1	9	4	26	4	600
4	4	1	8	6	25	6	800
5	5	1	9	8	26	8	1000
6	6	1	8	10	25	10	1200
7	7	1	9	10	26	10	1400
8	8	1	8	10	25	10	1600
9	9	1	8	10	25	10	1800
10	10	1	8	15	25	15	2000
11	11	1	8	15	25	15	2200
12	12	1	8	15	25	15	2400
13	13	1	9	15	26	15	2600
14	14	1	8	15	25	15	2800
15	15	1	9	20	26	20	3000
16	16	1	8	20	25	20	3200
17	17	1	9	20	26	20	3400
18	18	1	8	20	25	20	3600
19	19	1	8	20	25	20	3800
20	20	1	8	25	25	25	4000
21	21	1	8	25	25	25	4200
22	22	1	8	25	25	25	4400
23	23	1	9	25	26	25	4600
24	24	1	8	25	25	25	4800
25	25	1	9	30	26	30	5000
26	26	1	8	30	25	30	5500
27	27	1	9	30	26	30	6000
28	28	1	8	30	25	30	6500
29	29	1	8	30	25	30	7000
30	30	1	8	40	25	40	7500
31	31	1	8	40	25	40	8000
32	32	1	8	40	25	40	8500
33	33	1	9	40	26	40	9000
34	34	1	8	40	25	40	9500
35	35	1	9	55	26	55	12000
36	36	1	8	55	25	55	12000
37	37	1	9	55	26	55	12000
38	38	1	8	55	25	55	12000
39	39	1	8	55	25	55	12000
40	40	1	8	70	25	70	15000
41	41	1	8	70	25	70	16000
42	42	1	8	70	25	70	17000
43	43	1	9	70	26	70	18000
44	44	1	8	70	25	70	19000
45	45	1	9	100	26	100	20000
46	46	1	8	100	25	100	22000
47	47	1	9	100	26	100	24000
48	48	1	8	100	25	100	26000
49	49	1	8	100	25	100	28000
50	50	1	8	1000	25	1000	30000
51	51	1	8	1000	25	1000	32000
52	52	1	8	1000	25	1000	34000
53	53	1	9	1000	26	1000	36000
54	54	1	8	1000	25	1000	38000
55	55	1	9	1000	26	1000	40000
56	56	1	8	1000	25	1000	42000
57	57	1	9	1000	26	1000	44000
58	58	1	8	1000	25	1000	46000
59	59	1	8	1000	25	1000	48000
60	60	1	8	1000	25	1000	50000
61	61	1	8	1000	25	1000	52000
62	62	1	8	1000	25	1000	54000
63	63	1	9	1000	26	1000	56000
64	64	1	8	1000	25	1000	58000
65	65	1	9	1000	26	1000	60000
66	66	1	8	1000	25	1000	62000
67	67	1	9	1000	26	1000	64000
68	68	1	8	1000	25	1000	66000
69	69	1	8	1000	25	1000	68000
70	70	1	8	1000	25	1000	70000
71	71	1	8	1000	25	1000	72000
72	72	1	8	1000	25	1000	74000
73	73	1	9	1000	26	1000	76000
74	74	1	8	1000	25	1000	78000
75	75	1	9	1000	26	1000	80000
76	76	1	8	1000	25	1000	82000
77	77	1	9	1000	26	1000	84000
78	78	1	8	1000	25	1000	86000
79	79	1	8	1000	25	1000	88000
80	80	1	8	1000	25	1000	90000
81	81	1	8	1000	25	1000	92000
82	82	1	8	1000	25	1000	94000
83	83	1	9	1000	26	1000	96000
84	84	1	8	1000	25	1000	98000
85	85	1	9	1000	26	1000	100000
86	86	1	8	1000	25	1000	102000
87	87	1	9	1000	26	1000	104000
88	88	1	8	1000	25	1000	106000
89	89	1	8	1000	25	1000	108000
90	90	1	8	1000	25	1000	110000
91	91	1	8	1000	25	1000	112000
92	92	1	8	1000	25	1000	114000
93	93	1	9	1000	26	1000	116000
94	94	1	8	1000	25	1000	118000
95	95	1	9	1000	26	1000	120000
96	96	1	8	1000	25	1000	122000
97	97	1	9	1000	26	1000	124000
98	98	1	8	1000	25	1000	126000
99	99	1	8	1000	25	1000	128000
100	100	1	8	1000	25	1000	130000
