id	nameTxt	txt	bulletType	triggerComparison	bulletCd	skilltarget	bulletMode	boomEffect	mixNum	maxNum	bulletAngle	bulletNum	bulletSpeed	bulletBlock	bulletEjection	ejectionNum	bulletsAoe	attackAngle	bulletSplit	splitNum	callInfo	attackDistance	damagePercent	skillEffect1
1	石头人3颗子弹	石头人3颗子弹	1	1	0	2	10008	10001	3	0	120	1	6	1	0	0	0	0	0	0	0	0	0	0
2	石头人5颗子弹	石头人5颗子弹	1	1	0	2	10008	10001	5	0	120	1	6	1	0	0	0	0	0	0	0	0	0	0
3	食人花1颗子弹	食人花1颗子弹	1	1	0	2	10007	10007	1	0	60	1	8	0	0	0	0	0	0	0	0	0	0	0
4	食人花2颗子弹	食人花2颗子弹	1	1	0	2	10007	10007	2	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0
5	BOSS食人花普通子弹	BOSS食人花普通子弹	1	1	0	2	10002	10002	5	0	90	5	8	0	0	0	0	0	0	0	0	0	0	0
6	BOSS食人花随机子弹	BOSS食人花随机子弹	2	1	0	2	10002	10002	15	20	90	1	8	0	0	0	0	0	0	0	0	0	0	0
7	树妖4颗子弹	树妖4颗子弹	1	1	0	2	10006	10006	4	0	360	1	8	1	0	0	0	0	0	0	0	0	0	0
8	树妖8颗子弹	树妖8颗子弹	1	1	0	2	10006	10006	8	0	360	1	8	1	0	0	0	0	0	0	0	0	0	0
9	BOSS树妖AOE伤害	BOSS树妖AOE伤害	3	1	0	2	0	10006	0	0	0	1	8	0	0	0	1	192	0	0	0	128	0	0
10	普通弓箭	普通弓箭	1	1	0	2	10004	10001	1	0	120	1	14	1	0	0	0	0	0	0	0	0	0	0
11	弹射弓箭	弹射弓箭	1	1	0	2	10004	10001	1	0	0	1	14	1	1	2	0	0	0	0	0	0	0	0
12	BOSS火龙3颗子弹	BOSS火龙3颗子弹	1	1	0	2	10008	10001	3	0	90	1	4	1	1	2	0	0	0	0	0	0	0	0
13	BOSS火龙4颗子弹	BOSS火龙4颗子弹	1	1	0	2	10008	10001	4	0	90	1	4	1	1	2	0	0	0	0	0	0	0	0
14	BOSS火龙5颗子弹	BOSS火龙5颗子弹	1	1	0	2	10008	10001	5	0	90	1	4	1	1	2	0	0	0	0	0	0	0	0
15	冲撞	冲撞	4	1	0	2	0	10001	20	0	90	1	0	0	0	0	0	0	0	0	0	0	0	0
16	分裂1次	分裂1次	5	5	0	1	0	10001	4	0	360	1	0	0	0	0	0	0	1	2	0	0	0	0
17	分裂2次	分裂2次	5	5	0	1	0	10001	8	0	360	1	0	0	0	0	0	0	1	4	0	0	0	0
18	石头人召唤	召唤1个怪	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10013,1,30000	0	0	0
19	旋风斩	旋风斩	7	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0
20	炸弹	投掷炸弹	1	1	0	1	10006	10006	1	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0
21	树人召唤	召唤1个怪	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10034,1,30000	0	0	0
22	BOSS树人随机子弹	BOSS树人随机子弹	2	1	0	2	10003	10003	15	20	90	1	6	1	0	0	0	0	0	0	0	0	0	0
