id	moveType	moveSpeed	zoomMode	zoomShadow	enemyHp	enemyAttack	enemyBlack	enemySpeed	normalAttack	skillId	isBoss	enemymode	enemyAi	dropGold	dropExp	dropItem	txt	enemyLevel	enemyType
10001	2	1	100	80	400	150	4	1950	15	0	0	10027	8	4	25	0	红色蝙蝠/枪兵\n1-4关血量400	1	近战
10002	2	1	100	80	600	150	4	1950	15	0	0	10027	8	4	25	0	红色蝙蝠\n6-9关血量400	1	近战
10003	2	1	100	80	1500	200	4	1000	15	0	0	10027	8	4	25	0	紫色蝙蝠/枪兵\n11-14关血量400	1	近战
10004	2	1	100	80	1800	200	4	1000	15	0	0	10027	8	7	25	0	紫色蝙蝠/枪兵\n16-19关血量400	1	近战
10005	2	1	100	80	2400	200	4	1000	15	0	0	10027	8	7	25	0	紫色蝙蝠/枪兵\n21-24关血量400	1	近战
10006	2	1	100	80	3000	250	4	1000	15	0	0	10027	8	7	25	0	紫色蝙蝠/枪兵\n26-29关血量400	1	近战
10007	2	1	100	80	3600	250	4	1000	15	0	0	10027	8	7	25	0	紫色蝙蝠/枪兵\n31-34关血量400	1	近战
10008	2	1	100	80	4200	300	4	1000	15	0	0	10027	8	7	25	0	红色蝙蝠/枪兵\n36-39关血量400	1	近战
10009	2	1	100	80	5000	300	4	1000	15	0	0	10027	8	7	25	0	紫色蝙蝠/枪兵\n41-44关血量400	1	近战
10010	2	1	100	80	6000	300	4	1000	15	0	0	10027	8	7	25	0	紫色蝙蝠/枪兵\n46-49关血量400	1	近战
10011	2	1	100	80	1000	150	3	1950	1	0	0	10029	4	7	25	0	红色石头人/炮车\n1-4关血量1000	1	1
10012	2	1	100	80	1400	150	3	1950	1	0	0	10029	4	7	25	0	石头人/炮车\n6-10关血量1400	1	1
10013	2	1	100	80	2100	200	3	1000	1	0	0	10029	4	7	25	0	红色石头人/炮车\n11-14关血量400	1	1
10014	2	1	100	80	3150	200	3	1000	1	0	0	10029	4	7	25	0	红色石头人/炮车\n16-19关血量400	1	1
10015	2	1	100	80	3500	200	3	1000	1	0	0	10029	4	7	25	0	石头人/炮车\n21-24关血量400	1	1
10016	2	1	100	80	4500	250	3	1000	1	0	0	10029	4	12	25	0	石头人/炮车\n26-29关血量400	1	1
10017	2	1	100	80	7000	250	3	1000	1	0	0	10029	4	12	25	0	石头人/炮车\n31-34关血量400	1	1
10018	2	1	100	80	7000	300	3	1000	1	0	0	10029	4	12	25	0	石头人/炮车\n36-39关血量400	1	1
10019	2	1	100	80	10000	300	3	1000	1	0	0	10029	4	12	25	0	石头人/炮车\n41-44关血量400	1	1
10020	2	1	100	80	10000	300	3	1000	1	0	0	10029	4	12	25	0	石头人/炮车\n46-49关血量400	1	1
10021	3	0	100	80	600	150	1	1950	3	0	0	10028	2	5	25	0	食人花/法师\n1-4关血量600	1	1
10022	3	0	100	80	900	150	1	1950	3	0	0	10028	2	5	25	0	食人花/法师\n6-10关血量900	1	1
10023	3	0	100	80	1350	200	1	1500	3	0	0	10028	2	5	25	0	食人花/法师\n11-14关血量400	1	1
10024	3	0	100	80	2200	200	1	1500	4	0	0	10028	2	8	25	0	食人花2个子弹/法师\n16-19关血量400	1	1
10025	3	0	100	80	2200	200	1	1500	4	0	0	10028	2	8	25	0	食人花/法师\n21-24关血量400	1	1
10026	3	0	100	80	4000	250	1	1500	4	0	0	10028	2	8	25	0	食人花/法师\n26-29关血量400	1	1
10027	3	0	100	80	6000	250	1	1500	4	0	0	10028	2	8	25	0	食人花/法师\n31-34关血量400	1	1
10028	3	0	100	80	7000	300	1	1500	4	0	0	10028	2	8	25	0	食人花/法师\n36-39关血量400	1	1
10029	3	0	100	80	8000	300	1	1500	4	0	0	10028	2	8	25	0	食人花/法师\n41-44关血量400	1	1
10030	3	0	100	80	10000	300	1	1500	4	0	0	10028	2	8	25	0	食人花/法师\n46-49关血量400	1	1
10031	1	4	100	80	1000	150	2	1950	15	0	0	10010	5	7	25	0	树妖\n1-4关血量900	1	1
10032	4	1	100	80	1000	150	3	1950	7	0	0	10010	5	7	25	0	树妖\n6-9关血量400	1	1
10033	4	1	100	80	1000	200	3	1950	7	0	0	10010	5	7	25	0	树妖\n11-14关血量400	1	1
10034	4	1	100	80	3000	200	3	1950	7	0	0	10010	5	12	25	0	树妖蓝色\n16-19关血量400	1	1
10035	4	1	100	80	3000	200	3	1500	8	0	0	10012	5	12	25	0	树妖（蓝色）\n21-24关血量400	1	1
10036	4	1	100	80	3500	250	3	1500	8	0	0	10012	5	12	25	0	树妖\n26-29关血量400	1	1
10037	4	1	100	80	4500	250	3	1500	8	0	0	10012	5	12	25	0	树妖\n31-34关血量400	1	1
10038	4	1	100	80	5500	300	3	1500	8	0	0	10012	5	12	25	0	树妖\n36-39关血量400	1	1
10039	4	1	100	80	6500	300	3	1500	8	0	0	10012	5	12	25	0	树妖\n41-44关血量400	1	1
10040	4	1	100	80	7500	300	3	1500	8	0	0	10012	5	12	25	0	树妖\n46-49关血量400	1	1
10041	2	1	100	80	1000	150	2	3000	15	0	0	10014	11	0	25	0	弓箭手\n1-4关血量400	1	1
10042	2	1	100	80	1000	150	2	3000	15	0	0	10014	11	0	25	0	弓箭手\n6-9关血量400	1	1
10043	2	1	100	80	1650	200	2	2500	10	0	0	10014	11	8	25	0	弓箭手\n11-14关血量400	1	1
10044	2	1	100	80	1000	200	2	2500	10	0	0	10014	11	8	25	0	弓箭手\n16-19关血量400	1	1
10045	2	1	100	80	1000	200	2	2500	10	0	0	10014	11	8	25	0	弓箭手\n21-24关血量400	1	1
10046	2	1	100	80	1000	250	2	2500	10	0	0	10014	11	8	25	0	弓箭手\n26-29关血量400	1	1
10047	2	1	100	80	1000	250	2	2500	10	0	0	10014	11	8	25	0	弓箭手\n31-34关血量400	1	1
10048	2	1	100	80	1000	300	2	2500	10	0	0	10014	11	8	25	0	弓箭手\n36-39关血量400	1	1
10049	2	1	100	80	1000	300	2	2500	10	0	0	10014	11	8	25	0	弓箭手\n41-44关血量400	1	1
10050	2	1	100	80	1000	300	2	2500	10	0	0	10014	11	8	25	0	弓箭手\n46-49关血量400	1	1
10051	2	8	100	37	400	150	2	1500	15	0	0	10016	6	4	25	0	粘土怪\n1-4关血量400	1	近战
10052	2	8	100	37	600	150	2	1500	15	0	0	10016	6	4	25	0	粘土怪\n6-9关血量400	1	近战
10053	2	8	100	37	1200	200	2	1500	15	0	0	10016	6	4	25	0	粘土怪\n11-14关血量400	1	近战
10054	2	8	100	37	1100	200	2	1500	15	0	0	10016	6	4	25	0	粘土怪\n16-19关血量400	1	近战
10055	2	8	100	37	1100	200	2	1500	15	0	0	10016	6	4	25	0	粘土怪\n21-24关血量400	1	近战
10056	2	8	100	37	1100	250	2	1500	15	0	0	10016	6	4	25	0	粘土怪\n26-29关血量400	1	近战
10057	2	8	100	37	1100	250	2	1500	15	0	0	10016	6	4	25	0	粘土怪\n31-34关血量400	1	近战
10058	2	8	100	37	1100	300	2	1500	15	0	0	10016	6	4	25	0	粘土怪\n36-39关血量400	1	近战
10059	2	8	100	37	1100	300	2	1500	15	0	0	10016	6	4	25	0	粘土怪\n41-44关血量400	1	近战
10060	2	8	100	37	1100	300	2	1500	15	0	0	10016	6	4	25	0	粘土怪\n46-49关血量400	1	近战
10061	6	6	100	50	400	150	2	500	15	0	0	10001	8	0	25	0	幽灵\n1-4关血量400	1	1
10062	6	8	100	50	1000	150	2	500	15	0	0	10001	8	0	25	0	幽灵\n6-9关血量600	1	1
10063	6	4	100	50	1100	200	2	500	15	0	0	10030	8	5	25	0	幽灵\n11-14关血量400	1	1
10064	6	4	100	50	1600	200	2	500	15	0	0	10030	8	5	25	0	幽灵\n16-19关血量400	1	1
10065	6	4	100	50	2100	200	2	500	15	0	0	10030	8	5	25	0	幽灵\n21-24关血量400	1	1
10066	6	4	100	50	2500	250	2	500	15	0	0	10030	8	5	25	0	幽灵\n26-29关血量400	1	1
10067	6	4	100	50	2500	250	2	500	15	0	0	10030	8	5	25	0	幽灵\n31-34关血量400	1	1
10068	6	4	100	50	3000	300	2	500	15	0	0	10030	8	5	25	0	幽灵\n36-39关血量400	1	1
10069	6	4	100	50	3500	300	2	500	15	0	0	10030	8	5	25	0	幽灵\n41-44关血量400	1	1
10070	6	4	100	50	4000	300	2	500	15	0	0	10030	8	5	25	0	幽灵\n46-49关血量400	1	1
10071	1	1	100	37	2100	150	2	2600	20	0	0	10024	2	0	25	0	炸弹人\n1-4关	1	1
10072	1	1	100	37	2100	150	2	2600	20	0	0	10024	2	0	25	0	炸弹人\n6-9关	1	1
10073	1	1	100	37	2100	200	2	2600	20	0	0	10024	2	0	25	0	炸弹人\n11-14	1	1
10074	1	1	100	37	2100	200	2	2600	20	0	0	10024	2	12	25	0	炸弹人\n16-19	1	1
10075	1	1	100	37	2100	200	2	2600	20	0	0	10024	2	12	25	0	炸弹人\n21-24	1	1
10076	1	1	100	37	2500	250	2	2400	20	0	0	10024	2	12	25	0	炸弹人\n26-29	1	1
10077	1	1	100	37	3500	250	2	2400	20	0	0	10024	2	12	25	0	炸弹人\n31-34	1	1
10078	1	1	100	37	4500	300	2	1950	20	0	0	10024	2	12	25	0	炸弹人\n36-39	1	1
10079	1	1	100	37	5500	300	2	1950	20	0	0	10024	2	12	25	0	炸弹人\n41-44	1	1
10080	1	1	100	37	6500	300	2	1950	20	0	0	10024	2	12	25	0	炸弹人\n46-49	1	1
10081	2	2	135	64	12000	150	1	3250	0	12,13,14	1	10029	2	29	25	0	10关火龙BOSS/炮车	1	1
10082	2	2	135	64	22000	250	1	2600	0	12,13,14	1	10029	2	29	25	0	20关火龙BOSS/炮车	1	1
10083	2	2	135	64	32000	300	1	1950	0	12,13,14	1	10029	2	29	25	0	30关火龙BOSS/炮车	1	1
10084	2	2	135	64	42000	300	1	1300	0	12,13,14	1	10029	2	29	25	0	40关火龙BOSS/炮车	1	1
10085	4	1	135	64	12000	150	1	3250	22	21,9	1	10011	10	0	25	0	10关树人BOSS\n前10关没有	1	1
10086	4	1	135	64	22000	250	1	2600	22	21,9	1	10011	10	0	25	0	20关树人BOSS	1	1
10087	4	1	135	64	32000	300	1	1950	22	21,9	1	10011	10	29	25	0	30关树人BOSS	1	1
10088	4	1	135	64	42000	300	1	1300	22	21,9	1	10011	10	29	25	0	40关树人BOSS	1	1
10089	3	0	135	64	12000	150	1	3250	0	5,6	1	10009	2	29	25	0	10关食人花BOSS	1	1
10090	3	0	135	64	22000	250	1	2600	0	5,6	1	10009	2	29	25	0	20关食人花BOSS	1	1
10091	3	0	135	64	32000	300	1	1950	0	5,6	1	10009	2	29	25	0	30关食人花BOSS	1	1
10092	3	0	135	64	42000	300	1	1300	0	5,6	1	10009	2	29	25	0	40关食人花BOSS	1	1
