id	buffName	bufflInfo	buffDot	buffCD	times	damagePercent	addExp	addAttack	addSpeed	addCrit	addHurt	addHp	hpLimit	addMiss
1	火焰箭	燃烧	0	1000	7	25	0	0	0	0	0	0	0	0
2	火焰球	燃烧	0	1000	7	75	0	0	0	0	0	0	0	0
3	火焰剑	燃烧	0	1000	7	100	0	0	0	0	0	0	0	0
4	淬毒箭	淬毒	0	1000	-1	30	0	0	0	0	0	0	0	0
5	淬毒球	淬毒	0	1000	-1	60	0	0	0	0	0	0	0	0
6	淬毒剑	淬毒	0	1000	-1	100	0	0	0	0	0	0	0	0
7	冰冻箭	让怪物无法行动数秒	2000	5000	0	0	0	0	0	0	0	0	0	0
8	冰冻球		2000	5000	0	75	0	0	0	0	0	0	0	0
9	冰冻剑		2000	5000	0	100	0	0	0	0	0	0	0	0
10	雷电箭	使一定距离内的怪物引发连锁触电。	0	0	4	25	0	0	0	0	0	0	0	0
11	雷电球		0	0	4	75	0	0	0	0	0	0	0	0
12	雷电剑		0	0	4	100	0	0	0	0	0	0	0	0
17	聪明	获得经验值增加(升级变的更快)。	0	0	0	0	100	0	0	0	0	0	0	0
18	攻击提升小	增加弓箭的伤害。	0	0	1	0	0	25	0	0	0	0	0	0
19	攻击提升大		0	0	0	0	0	50	0	0	0	0	0	0
20	攻速提升小	增加弓箭的速度。	0	0	0	0	0	0	125	0	0	0	0	0
21	攻速提升大		0	0	0	0	0	0	250	0	0	0	0	0
22	暴击（小）	增加暴击率、弓箭伤害。	0	0	0	0	0	0	0	150	200	0	0	0
23	暴击（大）	增加暴击率。	0	0	0	0	0	0	0	300	0	0	0	0
24	愤怒	血量越少，攻击越高。	0	0	0	0	0	0	0	0	0	0	0	0
25	嗜血	在击杀怪物之后恢复少许血量。	0	0	0	0	0	0	0	0	0	15	0	0
26	美味心	提升吃到爱心时的恢复量。	0	0	0	0	0	0	0	0	0	200	0	0
27	生命提高	增加血量最大值。	0	0	0	0	0	0	0	0	0	0	200	0
28	回复生命	恢复一些血量。	0	0	0	0	0	0	0	0	0	200	0	0
29	复活	死亡时免费复活一次。	0	0	0	0	0	0	0	0	0	1000	0	0
30	旋转盾牌	能抵挡子弹的盾牌。	0	0	0	0	0	0	0	0	0	0	0	0
31	闪避	有机率闪避怪物的攻击。	0	0	0	0	0	0	0	0	0	0	0	100
32	穿墙	直接穿越墙壁。	0	0	0	0	0	0	0	0	0	0	0	0
33	水上漂	能够在水上行走。	0	0	0	0	0	0	0	0	0	0	0	0
34	无敌星星	每隔10秒产生一个抵挡任何攻击的2秒防护罩。	2000	10000	0	0	0	0	0	0	0	0	0	0
