id	roleLevel	roleId	addAtk	costAtk	addHp	costHp
1	1	1	1	1000	1	1000
2	2	1	1	1000	1	1000
3	3	1	1	1000	1	1000
4	4	1	1	1000	1	1000
5	5	1	1	1000	1	1000
6	6	1	1	1000	1	1000
7	7	1	1	1000	1	1000
8	8	1	1	1000	1	1000
9	9	1	1	1000	1	1000
10	10	1	1	1000	1	1000
11	11	1	1	1000	1	1000
12	12	1	1	1000	1	1000
13	13	1	1	1000	1	1000
14	14	1	1	1000	1	1000
15	15	1	1	1000	1	1000
16	16	1	1	1000	1	1000
17	17	1	1	1000	1	1000
18	18	1	1	1000	1	1000
19	19	1	1	1000	1	1000
20	20	1	1	1000	1	1000
21	21	1	1	1000	1	1000
22	22	1	1	1000	1	1000
23	23	1	1	1000	1	1000
24	24	1	1	1000	1	1000
25	25	1	1	1000	1	1000
26	26	1	1	1000	1	1000
27	27	1	1	1000	1	1000
28	28	1	1	1000	1	1000
29	29	1	1	1000	1	1000
30	30	1	1	1000	1	1000
31	31	1	1	1000	1	1000
32	32	1	1	1000	1	1000
33	33	1	1	1000	1	1000
34	34	1	1	1000	1	1000
35	35	1	1	1000	1	1000
36	36	1	1	1000	1	1000
37	37	1	1	1000	1	1000
38	38	1	1	1000	1	1000
39	39	1	1	1000	1	1000
40	40	1	1	1000	1	1000
41	41	1	1	1000	1	1000
42	42	1	1	1000	1	1000
43	43	1	1	1000	1	1000
44	44	1	1	1000	1	1000
45	45	1	1	1000	1	1000
46	46	1	1	1000	1	1000
47	47	1	1	1000	1	1000
48	48	1	1	1000	1	1000
49	49	1	1	1000	1	1000
50	50	1	1	1000	1	1000
51	51	1	1	1000	1	1000
52	52	1	1	1000	1	1000
53	53	1	1	1000	1	1000
54	54	1	1	1000	1	1000
55	55	1	1	1000	1	1000
56	56	1	1	1000	1	1000
57	57	1	1	1000	1	1000
58	58	1	1	1000	1	1000
59	59	1	1	1000	1	1000
60	60	1	1	1000	1	1000
61	61	1	1	1000	1	1000
62	62	1	1	1000	1	1000
63	63	1	1	1000	1	1000
64	64	1	1	1000	1	1000
65	65	1	1	1000	1	1000
66	66	1	1	1000	1	1000
67	67	1	1	1000	1	1000
68	68	1	1	1000	1	1000
69	69	1	1	1000	1	1000
70	70	1	1	1000	1	1000
71	71	1	1	1000	1	1000
72	72	1	1	1000	1	1000
73	73	1	1	1000	1	1000
74	74	1	1	1000	1	1000
75	75	1	1	1000	1	1000
76	76	1	1	1000	1	1000
77	77	1	1	1000	1	1000
78	78	1	1	1000	1	1000
79	79	1	1	1000	1	1000
80	80	1	1	1000	1	1000
81	81	1	1	1000	1	1000
82	82	1	1	1000	1	1000
83	83	1	1	1000	1	1000
84	84	1	1	1000	1	1000
85	85	1	1	1000	1	1000
86	86	1	1	1000	1	1000
87	87	1	1	1000	1	1000
88	88	1	1	1000	1	1000
89	89	1	1	1000	1	1000
90	90	1	1	1000	1	1000
91	91	1	1	1000	1	1000
92	92	1	1	1000	1	1000
93	93	1	1	1000	1	1000
94	94	1	1	1000	1	1000
95	95	1	1	1000	1	1000
96	96	1	1	1000	1	1000
97	97	1	1	1000	1	1000
98	98	1	1	1000	1	1000
99	99	1	1	1000	1	1000
100	100	1	1	1000	1	1000
