id	addAttack	addHp	addItemhp	addDefense	addAtkspeed	dropLevelhp	addCompose	lineGold	offlineGold
1	1	50	50	5.5	3	50	3	1	1
2	2	55	55	6	3	55	3	1	1
3	3	60	60	6.5	3	60	3	1	1
4	4	65	65	7	3	65	3	1	1
5	5	70	70	7.5	3	70	3	1	1
6	6	75	75	8	3	75	3	1	1
7	7	80	80	8.5	3	80	3	1	1
8	8	85	85	9	3	85	3	1	1
9	9	90	90	9.5	3	90	3	1	1
10	10	95	95	10	3	95	3	1	1
11	11	100	100	10.5	3	100	3	1	1
12	12	105	105	11	3	105	3	1	1
13	13	110	110	11.5	3	110	3	1	1
14	14	115	115	12	3	115	3	1	1
15	15	120	120	12.5	3	120	3	1	1
16	16	125	125	13	3	125	3	1	1
17	17	130	130	13.5	3	130	3	1	1
18	18	135	135	14	3	135	3	1	1
19	19	140	140	14.5	3	140	3	1	1
20	20	145	145	15	3	145	3	1	1
21	21	150	150	15.5	3	150	3	1	1
22	22	155	155	16	3	155	3	1	1
23	23	160	160	16.5	3	160	3	1	1
24	24	165	165	17	3	165	3	1	1
25	25	170	170	17.5	3	170	3	1	1
26	26	175	175	18	3	175	3	1	1
27	27	180	180	18.5	3	180	3	1	1
28	28	185	185	19	3	185	3	1	1
29	29	190	190	19.5	3	190	3	1	1
30	30	195	195	20	3	195	3	1	1
31	31	200	200	20.5	3	200	3	1	1
32	32	205	205	21	3	205	3	1	1
33	33	210	210	21.5	3	210	3	1	1
34	34	215	215	22	3	215	3	1	1
35	35	220	220	22.5	3	220	3	1	1
36	36	225	225	23	3	225	3	1	1
37	37	230	230	23.5	3	230	3	1	1
38	38	235	235	24	3	235	3	1	1
39	39	240	240	24.5	3	240	3	1	1
40	40	245	245	25	3	245	3	1	1
41	41	250	250	25.5	3	250	3	1	1
42	42	255	255	26	3	255	3	1	1
43	43	260	260	26.5	3	260	3	1	1
44	44	265	265	27	3	265	3	1	1
45	45	270	270	27.5	3	270	3	1	1
46	46	275	275	28	3	275	3	1	1
47	47	280	280	28.5	3	280	3	1	1
48	48	285	285	29	3	285	3	1	1
49	49	290	290	29.5	3	290	3	1	1
50	50	295	295	30	3	295	3	1	1
51	51	300	300	30.5	3	300	3	1	1
52	52	305	305	31	3	305	3	1	1
53	53	310	310	31.5	3	310	3	1	1
54	54	315	315	32	3	315	3	1	1
55	55	320	320	32.5	3	320	3	1	1
56	56	325	325	33	3	325	3	1	1
57	57	330	330	33.5	3	330	3	1	1
58	58	335	335	34	3	335	3	1	1
59	59	340	340	34.5	3	340	3	1	1
60	60	345	345	35	3	345	3	1	1
