id	talentCost
1	25000
2	50000
3	75000
4	100000
5	125000
6	150000
7	175000
8	200000
9	225000
10	250000
11	275000
12	300000
13	325000
14	350000
15	375000
16	400000
17	425000
18	450000
19	475000
20	500000
21	525000
22	550000
23	575000
24	600000
25	625000
26	687500
27	750000
28	812500
29	875000
30	937500
31	1000000
32	1062500
33	1125000
34	1187500
35	1250000
36	1312500
37	1375000
38	1437500
39	1500000
40	1875000
41	2000000
42	2125000
43	2250000
44	2375000
45	2500000
46	2750000
47	3000000
48	3250000
49	3500000
50	3750000
51	4000000
52	4250000
53	4500000
54	4750000
55	5000000
56	5250000
57	5500000
58	5750000
59	6000000
60	6250000
61	6500000
62	6750000
63	7000000
64	7250000
65	7500000
66	7750000
67	8000000
68	8250000
69	8500000
70	8750000
71	9000000
72	9250000
73	9500000
74	9750000
75	10000000
76	10250000
77	10500000
78	10750000
79	11000000
80	11250000
81	11500000
82	11750000
83	12000000
84	12250000
85	12500000
86	12750000
87	13000000
88	13250000
89	13500000
90	13750000
91	14000000
92	14250000
93	14500000
94	14750000
95	15000000
96	15250000
97	15500000
98	15750000
99	16000000
100	16250000
101	16500000
102	16750000
103	17000000
104	17250000
105	17500000
106	17750000
107	18000000
108	18250000
109	18500000
110	18750000
111	19000000
112	19250000
113	19500000
114	19750000
115	20000000
116	20250000
117	20500000
118	20750000
119	21000000
120	21250000
121	21500000
122	21750000
123	22000000
124	22250000
125	22500000
126	22750000
127	23000000
128	23250000
129	23500000
130	23750000
131	24000000
132	24250000
133	24500000
134	24750000
135	25000000
136	25250000
137	25500000
138	25750000
139	26000000
140	26250000
141	26500000
142	26750000
143	27000000
144	27250000
145	27500000
146	27750000
147	28000000
148	28250000
149	28500000
150	28750000
151	29000000
152	29250000
153	29500000
154	29750000
155	30000000
156	30250000
157	30500000
158	30750000
159	31000000
160	31250000
161	31500000
162	31750000
163	32000000
164	32250000
165	32500000
166	32750000
167	33000000
168	33250000
169	33500000
170	33750000
171	34000000
172	34250000
173	34500000
174	34750000
175	35000000
176	35250000
177	35500000
178	35750000
179	36000000
180	36250000
181	36500000
182	36750000
183	37000000
184	37250000
185	37500000
186	37750000
187	38000000
188	38250000
189	38500000
190	38750000
191	39000000
192	39250000
193	39500000
194	39750000
195	40000000
196	40250000
197	40500000
198	40750000
199	41000000
200	41250000
201	41500000
202	41750000
203	42000000
204	42250000
205	42500000
206	42750000
207	43000000
208	43250000
209	43500000
210	43750000
211	44000000
212	44250000
213	44500000
214	44750000
215	45000000
216	45250000
217	45500000
218	45750000
219	46000000
220	46250000
221	46500000
222	46750000
223	47000000
224	47250000
225	47500000
226	47750000
227	48000000
228	48250000
229	48500000
230	48750000
231	49000000
232	49250000
233	49500000
234	49750000
235	50000000
236	50250000
237	50500000
238	50750000
239	51000000
240	51250000
241	51500000
242	51750000
243	52000000
244	52250000
245	52500000
246	52750000
247	53000000
248	53250000
249	53500000
250	53750000
251	54000000
252	54250000
253	54500000
254	54750000
255	55000000
256	55250000
257	55500000
258	55750000
259	56000000
260	56250000
261	56500000
262	56750000
263	57000000
264	57250000
265	57500000
266	57750000
267	58000000
268	58250000
269	58500000
270	58750000
271	59000000
272	59250000
273	59500000
274	59750000
275	60000000
276	60250000
277	60500000
278	60750000
279	61000000
280	61250000
281	61500000
282	61750000
283	62000000
284	62250000
285	62500000
286	62750000
287	63000000
288	63250000
289	63500000
290	63750000
291	64000000
292	64250000
293	64500000
294	64750000
295	65000000
296	65250000
297	65500000
298	65750000
299	66000000
300	66250000
301	66500000
302	66750000
303	67000000
304	67250000
305	67500000
306	67750000
307	68000000
308	68250000
309	68500000
310	68750000
311	69000000
312	69250000
313	69500000
314	69750000
315	70000000
316	70250000
317	70500000
318	70750000
319	71000000
320	71250000
321	71500000
322	71750000
323	72000000
324	72250000
325	72500000
326	72750000
327	73000000
328	73250000
329	73500000
330	73750000
331	74000000
332	74250000
333	74500000
334	74750000
335	75000000
336	75250000
337	75500000
338	75750000
339	76000000
340	76250000
341	76500000
342	76750000
343	77000000
344	77250000
345	77500000
346	77750000
347	78000000
348	78250000
349	78500000
350	78750000
351	79000000
352	79250000
353	79500000
354	79750000
355	80000000
356	80250000
357	80500000
358	80750000
359	81000000
360	81250000
361	81500000
362	81750000
363	82000000
364	82250000
365	82500000
366	82750000
367	83000000
368	83250000
369	83500000
370	83750000
371	84000000
372	84250000
373	84500000
374	84750000
375	85000000
376	85250000
377	85500000
378	85750000
379	86000000
380	86250000
381	86500000
382	86750000
383	87000000
384	87250000
385	87500000
386	87750000
387	88000000
388	88250000
389	88500000
390	88750000
391	89000000
392	89250000
393	89500000
394	89750000
395	90000000
396	90250000
397	90500000
398	90750000
399	91000000
400	91250000
401	91500000
402	91750000
403	92000000
404	92250000
405	92500000
406	92750000
407	93000000
408	93250000
409	93500000
410	93750000
411	94000000
412	94250000
413	94500000
414	94750000
415	95000000
416	95250000
417	95500000
418	95750000
419	96000000
420	96250000
421	96500000
422	96750000
423	97000000
424	97250000
425	97500000
426	97750000
427	98000000
428	98250000
429	98500000
430	98750000
431	99000000
432	99250000
433	99500000
434	99750000
435	100000000
436	100250000
437	100500000
438	100750000
439	101000000
440	101250000
441	101500000
442	101750000
443	102000000
444	102250000
445	102500000
446	102750000
447	103000000
448	103250000
449	103500000
450	103750000
451	104000000
452	104250000
453	104500000
454	104750000
455	105000000
456	105250000
457	105500000
458	105750000
459	106000000
460	106250000
461	106500000
462	106750000
463	107000000
464	107250000
465	107500000
466	107750000
467	108000000
468	108250000
469	108500000
470	108750000
471	109000000
472	109250000
473	109500000
474	109750000
475	110000000
476	110250000
477	110500000
478	110750000
479	111000000
480	111250000
481	111500000
482	111750000
483	112000000
484	112250000
485	112500000
486	112750000
487	113000000
488	113250000
489	113500000
490	113750000
491	114000000
492	114250000
493	114500000
494	114750000
495	115000000
496	115250000
497	115500000
498	115750000
499	116000000
500	116250000
501	116500000
502	116750000
503	117000000
504	117250000
505	117500000
506	117750000
507	118000000
508	118250000
509	118500000
510	118750000
511	119000000
512	119250000
513	119500000
514	119750000
515	120000000
516	120250000
517	120500000
518	120750000
519	121000000
520	121250000
521	121500000
522	121750000
523	122000000
524	122250000
525	122500000
526	122750000
527	123000000
528	123250000
529	123500000
530	123750000
531	124000000
532	124250000
533	124500000
534	124750000
535	125000000
536	125250000
537	125500000
538	125750000
539	126000000
540	126250000
541	126500000
542	126750000
543	127000000
544	127250000
545	127500000
546	127750000
